Name,Muscle,Equipment,Rating,Type,Level,Description
Barbell Hip Thrust,Glutes,Barbell,9.1,Powerlifting,Intermediate,"1. Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise.
2. Roll the bar so that it is directly above your hips, and lean back against the bench so that your shoulder blades are near the top of it.
3. Begin the movement by driving through your feet, extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible, then reverse the motion to return to the starting position."
Forward lunge,Quadriceps,Body Only,9,Strength,Intermediate,"1. Stand erect with your feet hip-width apart, chest out, and shoulders back, maintaining the natural curvature of your spine. Your knees should be unlocked and your hand on your hips. This is your starting position.
2. Take a moderate-length step forward with one foot, descending to a point in which your rear knee approaches the floor without touching, maintaining your body's upright posture. Your front knee should bend about 90 degrees, but for knee health it should not be forward of the vertical plane that extends straight up from your toes. If so, take a slightly longer step.
3. From the bottom position, push back up from your forward foot, bringing it back beside the other.
4. Repeat on the opposite side for the required number of repetitions."
Barbell Bench Press - Medium Grip,Chest,Barbell,9,Strength,Intermediate,"1. Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.
2. From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest.
3. After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it.
4. Repeat the movement for the prescribed amount of repetitions.
5. When you are done, place the bar back in the rack.

Caution:


If you are new at this exercise, it is advised that you use a spotter. If no spotter is available, then be conservative with the amount of weight used.

Also, beware of letting the bar drift too far forward. You want the bar to touch your middle chest and nowhere else.

Don't bounce the weight off your chest. You should be in full control of the barbell at all times."
Chest dip,Chest,Other,9,Strength,Intermediate,"1. For this exercise you will need access to parallel bars. To get yourself into the starting position, hold your body at arms length (arms locked) above the bars.
2. While breathing in, lower yourself slowly with your torso leaning forward around 30 degrees or so and your elbows flared out slightly until you feel a slight stretch in the chest.
3. Once you feel the stretch, use your chest to bring your body back to the starting position as you breathe out. Tip: Remember to squeeze the chest at the top of the movement for a second.
4. Repeat the movement for the prescribed amount of repetitions.

Variations:


If you are new at this exercise and do not have the strength to perform it, use a dip assist machine if available. These machines use weight to help you push your bodyweight.

Otherwise, a spotter holding your legs can help.

More advanced lifters can add weight to the exercise by using a weight belt that allows the addition of weighted plates."
Seated dumbbell shoulder press,Shoulders,Dumbbell,9,Strength,Intermediate,"1. While holding a dumbbell in each hand, sit on a military press bench or utility bench that has back support. Place the dumbbells upright on top of your thighs.
2. Now raise the dumbbells to shoulder height one at a time using your thighs to help propel them up into position.
3. Make sure to rotate your wrists so that the palms of your hands are facing forward. This is your starting position.
4. Now, exhale and push the dumbbells upward until they touch at the top.
5. Then, after a brief pause at the top contracted position, slowly lower the weights back down to the starting position while inhaling.
6. Repeat for the recommended amount of repetitions.

Variations:
 You can perform the exercise standing or sitting on a regular flat bench. For people with lower back problems, the version described is the recommended one.

You can also perform the exercise as Arnold Schwarzenegger used to do it, which is to start holding the dumbbells with a supinated grip (palms facing you) in front of your shoulders and then, as you start pushing up, you align the dumbbells in the starting position described on step 3 by rotating your wrists and touch the dumbbells at the top. As you come down, then you would go back to the starting position by rotating the wrist throughout the lowering portion until the palms of your hands are facing you. This variation is called the Arnold Press. However, it is not recommended if you have rotator cuff problems."
Barbell Curl,Biceps,Barbell,9,Strength,Intermediate,"1. Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position.
2. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out.Tip:Only the forearms should move.
3. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard.
4. Slowly begin to bring the bar back to starting position as your breathe in.
5. Repeat for the recommended amount of repetitions.

Variations:

• You can also perform this movement using a straight bar attachment hooked to a low pulley. This variation seems to really provide a good contraction at the top of the movement.
• You may also use the closer grip for variety purposes."
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar,9,Strength,Intermediate,"1. Using a close grip, lift the EZ bar and hold it with your elbows in as you lie on the bench. Your arms should be perpendicular to the floor. This will be your starting position.
2. Keeping the upper arms stationary, lower the bar by allowing the elbows to flex. Inhale as you perform this portion of the movement. Pause once the bar is directly above the forehead.
3. Lift the bar back to the starting position by extending the elbow and exhaling.
4. Repeat."
One-Arm Dumbbell Row,Middle Back,Dumbbell,9,Strength,Intermediate,"1. Choose a flat bench and place a dumbbell on each side of it.
2. Place the right leg on top of the end of the bench, bend your torso forward from the waist until your upper body is parallel to the floor, and place your right hand on the other end of the bench for support.
3. Use the left hand to pick up the dumbbell on the floor and hold the weight while keeping your lower back straight. The palm of the hand should be facing your torso. This will be your starting position.
4. Pull the resistance straight up to the side of your chest, keeping your upper arm close to your side and keeping the torso stationary. Breathe out as you perform this step.Tip:Concentrate on squeezing the back muscles once you reach the full contracted position. Also, make sure that the force is performed with the back muscles and not the arms. Finally, the upper torso should remain stationary and only the arms should move. The forearms should do no other work except for holding the dumbbell; therefore do not try to pull the dumbbell up using the forearms.
5. Lower the resistance straight down to the starting position. Breathe in as you perform this step.
6. Repeat the movement for the specified amount of repetitions.
7. Switch sides and repeat again with the other arm.

Variations:
 One-arm rows can also be performed using a high pulley or a low pulley instead of a dumbbell."
Alternating standing shoulder press,Shoulders,Dumbbell,9,Strength,Intermediate,"1. Stand with a dumbbell in each hand. Raise the dumbbells to your shoulders with your palms facing forward and your elbows pointed out. This will be your starting position.
2. Extend one arm to press the dumbbell straight up, keeping your off hand in place. Do not lean or jerk the weight during the movement.
3. After a brief pause, return the weight to the starting position.
4. Repeat for the opposite side, continuing to alternate between arms."
Concentration curl,Biceps,Dumbbell,9,Strength,Intermediate,"1. Sit down on a flat bench with one dumbbell in front of you between your legs. Your legs should be spread with your knees bent and feet on the floor.
2. Use your right arm to pick the dumbbell up. Place the back of your right upper arm on the top of your inner right thigh. Rotate the palm of your hand until it is facing forward away from your thigh.Tip:Your arm should be extended and the dumbbell should be above the floor. This will be your starting position.
3. While holding the upper arm stationary, curl the weights forward while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level.Tip:At the top of the movement make sure that the little finger of your arm is higher than your thumb. This guarantees a good contraction. Hold the contracted position for a second as you squeeze the biceps.
4. Slowly begin to bring the dumbbells back to starting position as your breathe in.Caution:Avoid swinging motions at any time.
5. Repeat for the recommended amount of repetitions. Then repeat the movement with the left arm.

Variations:
 This exercise can be performed standing with the torso bent forward and the arm in front of you. In this case, no leg support is used for the back of your arm so you will need to make extra effort to ensure no movement of the upper arm. This is a more challenging version of the exercise and is not recommended for people with lower back issues."
Decline Crunch,Abdominals,Body Only,9,Strength,Intermediate,"1. Secure your legs at the end of the decline bench and lie down.
2. Now place your hands lightly on either side of your head keeping your elbows in.Tip:Don't lock your fingers behind your head.
3. While pushing the small of your back down in the bench to better isolate your abdominal muscles, begin to roll your shoulders off it.
4. Continue to push down as hard as you can with your lower back as you contract your abdominals and exhale. Your shoulders should come up off the bench only about four inches, and your lower back should remain on the bench. At the top of the movement, contract your abdominals hard and keep the contraction for a second.Tip:Focus on slow, controlled movement - don't cheat yourself by using momentum.
5. After the one second contraction, begin to come down slowly again to the starting position as you inhale.
6. Repeat for the recommended amount of repetitions.

Variations:
 There are many variations for the crunch. You can perform the exercise with weights, or on top of an exercise ball or on a flat bench."
Decline Dumbbell Flyes,Chest,Dumbbell,9,Strength,Intermediate,"1. Secure your legs at the end of the decline bench and lie down with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other.
2. Once you are laying down, move the dumbbells in front of you at shoulder width. The palms of the hands should be facing each other and the arms should be perpendicular to the floor and fully extended. This will be your starting position.
3. With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement.Tip:Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint.
4. Return your arms back to the starting position as you squeeze your chest muscles and breathe out.Tip:Make sure to use the same arc of motion used to lower the weights.
5. Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions.

Variation:
 You may want to use a palms facing forward version for different stimulation."
Single-arm incline rear delt raise,Shoulders,Dumbbell,9,Strength,Intermediate,"1. While holding a dumbbell in one hand, lay with your chest down on a slightly inclined (around 15 degrees when measured from the floor) adjustable bench. The other hand can be used to hold to the leg of the bench for stability.
2. Position the palm of the hand that is holding the dumbbell in a neutral manner (palms facing your torso) as you keep the arm extended with the elbow slightly bent. This will be your starting position.
3. Now raise the arm with the dumbbell to the side until your elbow is at shoulder height and your arm is roughly parallel to the floor as you exhale. Tip: Maintain your arm perpendicular to the torso while keeping your arm extended throughout the movement. Also, keep the contraction at the top for a second.
4. Slowly lower the dumbbell to the starting position as you inhale.
5. Repeat for the recommended amount of repetitions.

Variations:
 You can perform this exercise with both arms at the same time and also keeping the palms of the hands facing back as opposed to facing your torso."
Alternating dumbbell front raise,Shoulders,Dumbbell,9,Strength,Intermediate,"1. Pick a couple of dumbbells and stand with a straight torso and the dumbbells on front of your thighs at arms length with the palms of the hand facing your thighs. This will be your starting position.
2. While maintaining the torso stationary (no swinging), lift the left dumbbell to the front with a slight bend on the elbow and the palms of the hands always facing down. Continue to go up until you arm is slightly above parallel to the floor. Exhale as you execute this portion of the movement and pause for a second at the top. Inhale after the second pause.
3. Now lower the dumbbell back down slowly to the starting position as you simultaneously lift the right dumbbell.
4. Continue alternating in this fashion until all of the recommended amount of repetitions have been performed for each arm.

Variations:
 This exercise can also be performed both arms at the same time. Also, you could use a barbell as well."
Hanging toes-to-bar,Abdominals,Body Only,9,Strength,Intermediate,"1. Hang from a chin-up bar with your legs and feet together using an overhand grip (palms facing away from you) that is slightly wider than shoulder width.Tip:You may use wrist wraps in order to facilitate holding on to the bar.
2. Now bend your knees at a 90 degree angle and bring the upper legs forward so that the calves are perpendicular to the floor while the thighs remain parallel to it. This will be your starting position.
3. Pull your legs up as you exhale until you almost touch your shins with the bar above you.Tip:Try to straighten your legs as much as possible while at the top.
4. Lower your legs as slowly as possible until you reach the starting position.Tip:Avoid swinging and using momentum at all times.
5. Repeat for the recommended amount of repetitions.

Variations:
 You can perform this exercise with ankle weights in order to make it more challenging."
Narrow-stance squat,Quadriceps,Barbell,9,Strength,Expert,"1. This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.
2. Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
3. Step away from the rack and position your legs using a less-than-shoulder-width narrow stance with the toes slightly pointed out. Feet should be around 3-6 inches apart. Keep your head up at all times (looking down will get you off balance) and maintain a straight back. This will be your starting position. (Note:For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section).
4. Begin to slowly lower the bar by bending the knees as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees (which is the point in which the upper legs are below parallel to the floor). Inhale as you perform this portion of the movement.Tip:If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly.
5. Begin to raise the bar as you exhale by pushing the floor with the heel of your foot mainly as you straighten the legs again and go back to the starting position.
6. Repeat for the recommended amount of repetitions.

Caution:
 This is not an exercise to be taken lightly. If you have back issues, substitute it with the dumbbell squat variation or a leg press instead. If you have a healthy back, ensure perfect form and never slouch the back forward as this can cause back injury. Be cautious as well with the weight used; in case of doubt, use less weight rather than more. The squat is a very safe exercise but only if performed properly.



Variations:



As previously mentioned, there are various stances that can be used depending on what you want to emphasize.

You can also place a small block under the heels to improve balance.

Dumbbells can be used as well for resistance by holding them to your sides. The use of wrist wraps is a necessity due to the amount of weights used. I find this an excellent variation when my lower back begins to act up after many weeks of regular barbell squats. (
Note:
 For wide-stance dumbbell squats you will have to hold the dumbbells in between your legs as opposed to both sides in order to be able to distance your legs sufficiently).

Another way to perform these is by using a weight belt and attaching weights to it in between the legs. This variation is referred to as weight-belt squats which need to be performed with the legs placed on two well secured, raised, but separated platforms, that allow the weights to go up and down in the middle. This exercise is an excellent choice for people with lower back problems. The issue however is finding the platforms that meet the criteria. The only way I have been able to perform this is when I have two benches placed opposite to each other with spotting platforms that are facing each other. If you move the benches close enough then you get can execute the weight-belt squats by using the spotting platform.

Finally, you can also perform squats in a Smith Machine though I do not recommend this. The reason for not performing regular squats on the Smith Machine is that since the machine allows you to execute the exercise while leaning versus the bar, hip flexor involvement is minimized taking the hamstring out of the exercise. While this does take pressure off the lower back, hamstring involvement is a requirement to stabilize the knee-cap. So, as a result, what is created is a situation where destructive forces place a huge stress on the ACL (anterior cruciate ligament; a primary ligament in the knee capsule whose job is to provide knee stability) by pushing the knee-cap forward. For this reason, I highly recommend against Smith Machine use for squats. If you still insist on doing so, make sure it is a sporadic use rather than frequent, and also be sure to control the amount of weight used."
Kneeling cable oblique crunch,Abdominals,Cable,9,Strength,Intermediate,"1. Connect a rope attachment to a high pulley cable and position the mat on the floor in front of you.
2. Take the rope with both hands and kneel approximately 1-2 feet from the column. Position the rope behind your head; your hands being next to your ears. This will be your starting position.
3. Keeping your hands in place, pull the rope downward in a crunching motion. As you flex the spine, twist to bring your elbow to the opposite knee.
4. Pause briefly at the bottom of the motion, and then return to the starting position."
Reverse Grip Triceps Pushdown,Triceps,Cable,9,Strength,Intermediate,"1. Start by setting a bar attachment (straight or e-z) on a high pulley machine.
2. Facing the bar attachment, grab it with the palms facing up (supinated grip) at shoulder width. Lower the bar by using your lats until your arms are fully extended by your sides.Tip:Elbows should be in by your sides and your feet should be shoulder width apart from each other. This is the starting position.
3. Slowly elevate the bar attachment up as you inhale so it is aligned with your chest. Only the forearms should move and the elbows/upper arms should be stationary by your side at all times.
4. Then begin to lower the cable bar back down to the original staring position while exhaling and contracting the triceps hard.
5. Repeat for the recommended amount of repetitions.

Variation:
 This exercise can also be performed with a single handle using one arm at a time. This will allow you to better isolate the triceps. With this version you can self spot yourself by placing your hand over your forearm and applying some pressure to help you perform more reps than before."
Bear crawl sled drag,Quadriceps,Other,9,Strongman,Intermediate,"1. Wearing either a harness or a loose weight belt, attach the chain to the back so that you will be facing away from the sled. Bend down so that your hands are on the ground. Your back should be flat and knees bent. This is your starting position.
2. Begin by driving with legs, alternating left and right. Use your hands to maintain balance and to help pull. Try to keep your back flat as you move over a given distance."
Rocky Pull-Ups/Pulldowns,Lats,Other,9,Strength,Beginner,"1. Grab the pull-up bar with the palms facing forward using a wide grip.
2. As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.
3. Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement.Tip:Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar.
4. After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched.
5. Now repeat the same movements as described above except this time your torso will remain straight as you go up and the bar will touch the back of the neck instead of the upper chest.Tip:Use the head to lean forward slightly as it will help you properly execute this portion of the exercise.
6. Once you have lowered yourself back down to the starting position, repeat the exercise for the prescribed amount of repetitions in your program.

Caution:
 The behind the neck variation can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck so this exercise is not recommended for people with shoulder problems.


Variations:

• If you are new at this exercise and do not have the strength to perform it, use a chin assist machine if available. These machines use weight to help you push your bodyweight.
• Otherwise, a spotter holding your legs can help.
• You can also use a pull-down machine."
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell,9,Strength,Beginner,"1. Load a barbell about chest level in a squat rack making sure the apparatus doesnâ€™t impede your hand placement.
2. Take a very wide grip on the bar equidistant from the midpoint and place it on your traps as if you were doing a squat.
3. Step back from the rack using a shoulder-width stance, feet angled slightly outward, with your knees unlocked and torso upright while maintaining a big chest with your shoulders back. Keep your head facing forward throughout. Lift the bar off your traps; this will be your starting position.
4. Keeping your elbows under the bar, press the bar overhead to full arm extension and lower under control without overextending your shoulders and leaning your head forward just a bit. Repeat for reps."
Box Squat with Bands,Quadriceps,Barbell,9,Powerlifting,Beginner,"1. Begin in a power rack with a box at the appropriate height behind you. Set up the bands on the sleeves, secured to either band pegs, the rack, or dumbbells so that there is appropriate tension. If dumbbells are used, secure them so that they don't move. Also, ensure that the dumbbells you are using are heavy enough for the bands that you are using. Additional plates can be used to hold the dumbbells down. If more tension is needed, you can either widen the base on the floor or choke the bands. Typically, you would aim for a box height that brings you to a parallel squat, but you can train higher or lower if desired.
2. Begin by stepping under the bar and placing it across the back of the shoulders. Squeeze your shoulder blades together and rotate your elbows forward, attempting to bend the bar across your shoulders. Remove the bar from the rack, creating a tight arch in your lower back, and step back into position. Place your feet wider for more emphasis on the back, glutes, adductors, and hamstrings, or closer together for more quad development. Keep your head facing forward.
3. With your back, shoulders, and core tight, push your knees and butt out and you begin your descent. Sit back with your hips until you are seated on the box. Ideally, your shins should be perpendicular to the ground. Pause when you reach the box, and relax the hip flexors. Never bounce off of a box.
4. Keeping the weight on your heels and pushing your feet and knees out, drive upward off of the box as you lead the movement with your head. Continue upward, maintaining tightness head to toe. Use care to return the barbell to the rack."
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,9,Strength,Beginner,"1. Hold the dumbbell towards the side farther from you so that you have more weight on the side closest to you. (This can be done for a good effect on all bicep dumbbell exercises). Now do a normal incline dumbbell curl, but keep your wrists as far back as possible so as to neutralize any stress that is placed on them.
2. Sit on an incline bench that is angled at 45-degrees while holding a dumbbell on each hand.
3. Let your arms hang down on your sides, with the elbows in, and turn the palms of your hands forward with the thumbs pointing away from the body.Tip:You will keep this hand position throughout the movement as there should not be any twisting of the hands as they come up. This will be your starting position.
4. Curl up the two dumbbells at the same time until your biceps are fully contracted and exhale.Tip:Do not swing the arms or use momentum. Keep a controlled motion at all times. Hold the contracted position for a second at the top.
5. As you inhale, slowly go back to the starting position.
6. Repeat for the recommended amount of repetitions.

Caution:
 Do not extend your arms totally as you could injure your elbows if you hyperextend them. Also, make sure that on the way down you move slowly to avoid injury.


Variations:
 You can use cables for this movement as well."
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell,9,Strength,Beginner,"1. Sit on a flat bench with a dumbbell in your right hand.
2. Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart.
3. Lean forward and place your right forearm on top of your upper right thigh with your palm up.Tip:Make sure that the front of the wrist lies on top of your knees. This will be your starting position.
4. Lower the dumbbell as far as possible as you keep a tight grip on the dumbbell. Inhale as you perform this movement.
5. Now curl the dumbbell as high as possible as you contract the forearms and as you exhale. Keep the contraction for a second before you lower again.Tip:The only movement should happen at the wrist.
6. Perform for the recommended amount of repetitions, switch arms and repeat the movement.

Variations:
 You can also do this movement with two arms at a time, one on each knee, or using a barbell."
Thigh adductor,Adductors,Machine,9,Strength,Intermediate,"1. To begin, sit down on the adductor machine and select a weight you are comfortable with. When your legs are positioned properly on the leg pads of the machine, grip the handles on each side. Your entire upper body (from the waist up) should be stationary. This is the starting position.
2. Slowly press against the machine with your legs to move them towards each other while exhaling.
3. Feel the contraction for a second and begin to move your legs back to the starting position while breathing in.Note:Remember to keep your upper body stationary and avoid fast jerking motions in order to prevent any injuries from occurring.
4. Repeat for the recommended amount of repetitions."
Machine Bicep Curl,Biceps,Machine,9,Strength,Beginner,"1. Adjust the seat to the appropriate height and make your weight selection. Place your upper arms against the pads and grasp the handles. This will be your starting position.
2. Perform the movement by flexing the elbow, pulling your lower arm towards your upper arm.
3. Pause at the top of the movement, and then slowly return the weight to the starting position.
4. Avoid returning the weight all the way to the stops until the set is complete to keep tension on the muscles being worked."
Seated Palms-Down Barbell Wrist Curl,Forearms,,9,Strength,Intermediate,"1. Hold a barbell with both hands and your palms facing down; hands spaced about shoulder width.
2. Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart.
3. Lean forward and place your forearms on top of your upper thighs with your palms down.Tip:Make sure that the back of the wrists lay on top of your knees. This will be your starting position.
4. Lower the bar as far as possible while inhaling and keeping a tight grip.
5. Now curl bar up as high as possible while flexing the forearms and exhaling. Hold the contraction at the top for a second andTip:Only the wrist should move.

Variations:
 This exercise can also be done with one or two dumbbells. Alternatively an EZ bar can also be used."
Car driver,Shoulders,Other,9,Strength,Intermediate,"1. While standing upright, hold a barbell plate in both hands at the 3 and 9 o'clock positions. Your palms should be facing each other and your arms should be extended straight out in front of you. This will be your starting position.
2. Initiate the movement by rotating the plate as far to one side as possible. Use the same type of movement you would use to turn a steering wheel to one side.
3. Reverse the motion, turning it all the way to the opposite side.
4. Repeat for the recommended amount of repetitions."
Alternating Deltoid Raise,Shoulders,Dumbbell,9,Strength,Intermediate,"1. In a standing position, hold a pair of dumbbells at your side.
2. Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating.
3. Return the weights to your side.
4. On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height.
5. Return the weights to the starting position and continue alternating to the front and side."
Hanging Oblique Knee Raise,Abdominals,Body Only,9,Strength,Intermediate,"1. Take a grip on pull-ups bars; hang with your knees together and your body straight. This will be your starting position.
2. Initiate the movement by flexing the hips and knees, drawing the legs up. Pull the knees up into one side, going above 90 degrees at the hip. Avoid any swinging, performing the exercise with control.
3. Return to the starting position and then perform the movement to the other side. Continue alternating until the set in complete."
Bodyweight Flyes,Chest,E-Z Curl Bar,9,Strength,Beginner,"1. Position two equally loaded EZ bars on the ground next to each other. Ensure they are able to roll.
2. Assume a push-up position over the bars, supporting your weight on your toes and hands with your arms extended and body straight.
3. Place your hands on the bars. This will be your starting position.
4. Using a slow and controlled motion, move your hands away from the midline of your body, rolling the bars apart. Inhale during this portion of the motion.
5. After moving the bars as far apart as you can, return to the starting position by pulling them back together. Exhale as you perform this movement."
Standing Calf Raises,Calves,Machine,9,Strength,Beginner,"1. Adjust the padded lever of the calf raise machine to fit your height.
2. Place your shoulders under the pads provided and position your toes facing forward (or using any of the two other positions described at the beginning of the chapter). The balls of your feet should be secured on top of the calf block with the heels extending off it. Push the lever up by extending your hips and knees until your torso is standing erect. The knees should be kept with a slight bend; never locked. Toes should be facing forward, outwards or inwards as described at the beginning of the chapter. This will be your starting position.
3. Raise your heels as you breathe out by extending your ankles as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending at any time. Hold the contracted position by a second before you start to go back down.
4. Go back slowly to the starting position as you breathe in by lowering your heels as you bend the ankles until calves are stretched.
5. Repeat for the recommended amount of repetitions.

Caution:
 If you suffer from lower back problems, a better exercise is the calf press as during a standing calf raise the back has to support the weight being lifted. Also, maintain your back straight and stationary at all times. Rounding of the back can cause lower back injury.


Variations:
 There are several other ways to perform a standing calf raise. A barbell instead of a machine can be used instead as well as dumbbells, one leg or two legs at a time. Refer to the exercise descriptions of these movements below. A smith machine can be used for calf raises as well."
Push-Ups - Close Triceps Position,Triceps,Body Only,9,Strength,Intermediate,"1. Lie on the floor face down and place your hands closer than shoulder width for a close hand position. Make sure that you are holding your torso up at arms' length.
2. Lower yourself until your chest almost touches the floor as you inhale.
3. Using your triceps and some of your pectoral muscles, press your upper body back up to the starting position and squeeze your chest. Breathe out as you perform this step.
4. After a second pause at the contracted position, repeat the movement for the prescribed amount of repetitions.

Variations:

• If you are new at this exercise and do not have the strength to perform it, you can either bend your legs at the knees to take off resistance or perform the exercise against the wall instead of the floor.
• For the most advanced lifters, you can place your feet at a high surface such as a bench in order to increase the resistance.

See Also:
 
Push-Up"
One-Arm Long Bar Row,Middle Back,Barbell,9,Strength,Intermediate,"1. Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end.
2. Stand next to the bar, and take a grip with one hand close to the collar. Using your hips and legs, rise to a standing position.
3. Assume a bent-knee stance with your hips back and your chest up. Your arm should be extended. This will be your starting position.
4. Pull the weight to your side by retracting the shoulder and flexing the elbow. Do not jerk the weight or cheat during the movement.
5. After a brief pause, return to the starting position."
Overhead cable curl,Biceps,Cable,9,Strength,Intermediate,"1. To begin, set a weight that is comfortable on each side of the pulley machine.Note:Make sure that the amount of weight selected is the same on each side.
2. Now adjust the height of the pulleys on each side and make sure that they are positioned at a height higher than that of your shoulders.
3. Stand in the middle of both sides and use an underhand grip (palms facing towards the ceiling) to grab each handle. Your arms should be fully extended and parallel to the floor with your feet positioned shoulder width apart from each other. Your body should be evenly aligned the handles. This is the starting position.
4. While exhaling, slowly squeeze the biceps on each side until your forearms and biceps touch.
5. While inhaling, move your forearms back to the starting position.Note:Your entire body is stationary during this exercise except for the forearms.
6. Repeat for the recommended amount of repetitions prescribed in your program.

Variations:
 This exercise can also be performed using one handle at a time."
Single-dumbbell front raise,Shoulders,Dumbbell,9,Strength,Intermediate,"1. With a wide stance, hold a dumbell with both hands, grasping the head of the dumbbell instead of the handle. Your arms should be extended and hanging at the waist. This will be your starting position.
2. Raise the weight until it is above shoulder level, keeping your arms extended. Your torso and hips should remain stationary throughout the movement.
3. Return to the starting position and repeat for the recommended amount of repetitions."
Incline cable chest fly,Chest,Cable,9,Strength,Intermediate,"1. To get yourself into the starting position, set the pulleys at the floor level (lowest level possible on the machine that is below your torso).
2. Place an incline bench (set at 45 degrees) in between the pulleys, select a weight on each one and grab a pulley on each hand.
3. With a handle on each hand, lie on the incline bench and bring your hands together at arms length in front of your face. This will be your starting position.
4. With a slight bend of your elbows (in order to prevent stress at the biceps tendon), lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement.Tip:Keep in mind that throughout the movement, the arms should remain stationary. The movement should only occur at the shoulder joint.
5. Return your arms back to the starting position as you squeeze your chest muscles and exhale. Hold the contracted position for a second.Tip:Make sure to use the same arc of motion used to lower the weights.
6. Repeat the movement for the prescribed amount of repetitions.

Variation:
 You can vary the angle of the bench in order to target the upper chest at slightly different angles."
Single-leg depth squat,Quadriceps,Bands,9,Strength,Intermediate,"1. Position a box in a rack. Secure a band or rope in place above the box.
2. Standing in front of it, step onto the box to a full standing position, letting your other leg remain unsupported. Hold onto the band for balance
3. . Continue stepping up and down on the same leg before switching to the opposite side."
Dumbbell suitcase crunch,Abdominals,Medicine Ball,9,Strength,Intermediate,"1. Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head holding a medicine ball. This will be your starting position.
2. To perform the movement, tuck the knees toward your chest, rotating your pelvis to lift your glutes from the floor. As you do so, flex the spine, bringing your arms back over your head to perform a simultaneous crunch motion.
3. After a brief pause, return to the starting position."
Plate Twist,Abdominals,Other,9,Strength,Beginner,"1. Lie down on the floor or an exercise mat with your legs fully extended and your upper body upright. Grab the plate by its sides with both hands out in front of your abdominals with your arms slightly bent.
2. Slowly cross your legs near your ankles and lift them up off the ground. Your knees should also be bent slightly.Note:Move your upper body back slightly to help keep you balanced turning this exercise. This is the starting position.
3. Move the plate to the left side and touch the floor with it. Breathe out as you perform that movement.
4. Come back to the starting position as you breathe in and then repeat the movement but this time to the right side of the body.Tip:Use a slow controlled movement at all times. Jerking motions can injure the back.
5. Repeat for the recommended amount of repetitions."
